id,title,price,promo_price,url
3405529,Конструктор LEGO DUPLO Town Уход за животными на ферме 10949,889,749,https://www.detmir.ru/product/index/id/3405529/
3405596,Конструктор LEGO Super Heroes Воздушное нападение Вечных 76145,1 189,,https://www.detmir.ru/product/index/id/3405596/
3596715,Конструктор LEGO Mickey and Friends Пожарная часть и машина Микки и его друзей 10776,5 389,3 769,https://www.detmir.ru/product/index/id/3596715/
3200890,Конструктор LEGO Star Wars Йода 75255,11 389,,https://www.detmir.ru/product/index/id/3200890/
3599722,Конструктор LEGO VIDIYO Robo HipHop Car (Машина Хип-Хоп Робота) 43112,2 989,1 489,https://www.detmir.ru/product/index/id/3599722/
3596887,Конструктор LEGO City Stunt 60297,709,629,https://www.detmir.ru/product/index/id/3596887/
3244543,Конструктор LEGO Minions Миньоны в лаборатории Грю 75546,2 149,,https://www.detmir.ru/product/index/id/3244543/
3405595,Конструктор LEGO Minifigures Минифигурки Серия 21 71029,289,,https://www.detmir.ru/product/index/id/3405595/
3405543,Конструктор LEGO Disney Princess Праздничный корабль Ариэль 43191,3 109,,https://www.detmir.ru/product/index/id/3405543/
3596822,Конструктор LEGO Dots Подставка для карандашей 41936,2 029,,https://www.detmir.ru/product/index/id/3596822/
3226702,Конструктор LEGO Minifigures DC Super Heroes Series 71026,289,,https://www.detmir.ru/product/index/id/3226702/
3599719,Конструктор LEGO VIDIYO Metal Dragon BeatBox (Битбокс Дракона-Металлиста) 43109,1 789,889,https://www.detmir.ru/product/index/id/3599719/
3405534,Конструктор LEGO Jurassic World Побег динозавров: тираннозавр и трицератопс 10939,3 109,,https://www.detmir.ru/product/index/id/3405534/
3498483,Конструктор LEGO Star Wars Микрофайтеры AT-AT против таунтауна 75298,2 149,,https://www.detmir.ru/product/index/id/3498483/
3244527,Конструктор LEGO Dots Браслет Мороженое 41910,649,389,https://www.detmir.ru/product/index/id/3244527/
618971,Строительная пластина LEGO Classic Серая (10701),1 549,1 299,https://www.detmir.ru/product/index/id/618971/
3596778,Конструктор LEGO Friends Кьюб Андреа для плавания 41671,889,619,https://www.detmir.ru/product/index/id/3596778/
3498477,Конструктор LEGO Vidiyo Битбокс Диджея Пришельца 43104,1 789,889,https://www.detmir.ru/product/index/id/3498477/
3594627,Конструктор LEGO Super Heroes Побег от Десяти колец 76176,3 349,,https://www.detmir.ru/product/index/id/3594627/
3405641,Конструктор LEGO Star Wars Испытание на Татуине 75299,3 349,,https://www.detmir.ru/product/index/id/3405641/
3226558,Конструктор LEGO DUPLO Грузовик Алфавит 10915,2 989,,https://www.detmir.ru/product/index/id/3226558/
3239916,Набор для творчества LEGO DOTS Браслет Попугайчики 41912,529,299,https://www.detmir.ru/product/index/id/3239916/
3596976,Конструктор LEGO Ninjago Спидер-амфибия ниндзя 71752,4 309,,https://www.detmir.ru/product/index/id/3596976/
3405533,Конструктор LEGO DUPLO Disney Праздничный поезд Микки и Минни 10941,3 109,,https://www.detmir.ru/product/index/id/3405533/
3244576,Конструктор LEGO Super Mario Огневой налёт Билла-банзай 71366,3 229,2 099,https://www.detmir.ru/product/index/id/3244576/
3405580,Конструктор LEGO City Town Дорожные пластины 60304,1 789,1 599,https://www.detmir.ru/product/index/id/3405580/
3597018,Конструктор LEGO Ninjago Водный дракон 71754,7 789,,https://www.detmir.ru/product/index/id/3597018/
3596774,Конструктор LEGO Friends Кьюб Оливии для игр 41667,889,799,https://www.detmir.ru/product/index/id/3596774/
3405598,Конструктор LEGO Super Heroes Вечные перед лицом Аришема 76155,7 789,6 899,https://www.detmir.ru/product/index/id/3405598/
3498482,Конструктор LEGO Star Wars Истребитель Сопротивления типа X 75297,2 149,,https://www.detmir.ru/product/index/id/3498482/
3405616,Конструктор LEGO Super Mario набор усилений Марио-пингвин 71384,1 069,739,https://www.detmir.ru/product/index/id/3405616/
